,X,Target.count,Hit.count,FA.count,HR,FAR,Memorability,stimulus
111,1-milk.jpg,41,32,17,0.780487805,0.414634146,0.365853659,1 percent milk
101,Air-popped-popcorn.jpg,41,27,15,0.658536585,0.365853659,0.292682927,air popcorn
113,American-cheese.jpg,44,33,9,0.75,0.204545455,0.545454545,american cheese
35,Apple.jpg,41,36,11,0.87804878,0.268292683,0.609756098,apple slices
43,Avocado-green.jpg,42,29,6,0.69047619,0.142857143,0.547619048,avacado
103,Baby-Bell-cheese-withcrackers.jpg,41,24,9,0.585365854,0.219512195,0.365853659,baby cheese
12,Bagel-cream-cheese.jpg,44,29,14,0.659090909,0.318181818,0.340909091,bagel and cc
102,Bagel-plain.jpg,41,35,10,0.853658537,0.243902439,0.609756098,bagel plain
128,Baguette-with-olive-oil.jpg,40,21,5,0.525,0.125,0.4,baguette oil
72,Baked-Potato.jpg,40,28,9,0.7,0.225,0.475,baked potato
27,Banana.jpg,41,33,4,0.804878049,0.097560976,0.707317073,banana
124,Black-Beans-with-rice.jpg,42,25,9,0.595238095,0.214285714,0.380952381,blackbeanswithrice
44,Blueberries.jpg,41,33,8,0.804878049,0.195121951,0.609756098,blueberries
104,Broccoli-Cauliflower-raw.jpg,40,25,8,0.625,0.2,0.425,broccoli cauliflower
132,Broccoli-raw.jpg,42,26,8,0.619047619,0.19047619,0.428571429,broccoli
26,Brownie.jpg,41,31,11,0.756097561,0.268292683,0.487804878,brownie
90,Burger-on-bun-homemade-80-lean.jpg,43,32,13,0.744186047,0.302325581,0.441860465,burger
17,Burrito-Amy-Bean-Cheese.jpg,40,28,4,0.7,0.1,0.6,burrito
105,Cantaloupe.jpg,40,29,7,0.725,0.175,0.55,cantaloupe
56,Carrot-Sticks.jpg,44,32,18,0.727272727,0.409090909,0.318181818,carrotsticks
126,Celery-Carrot-Sticks.jpg,42,33,14,0.785714286,0.333333333,0.452380952,celery and carrot sticks
129,Celery-sticks.jpg,41,33,10,0.804878049,0.243902439,0.56097561,celerysticks
125,Cheerios-dry.jpg,41,29,14,0.707317073,0.341463415,0.365853659,cheerios
134,Cheese-Nachos.jpg,41,35,8,0.853658537,0.195121951,0.658536585,Cheese nachos
34,Cheese-cubes-mild-cheddar.jpg,41,29,5,0.707317073,0.12195122,0.585365854,cheesecubes
67,Cheeze-Itz.jpg,42,28,10,0.666666667,0.238095238,0.428571429,cheezeits
8,Cherries.jpg,41,27,10,0.658536585,0.243902439,0.414634146,cherries
133,Cherry-tomatoes.jpg,40,29,3,0.725,0.075,0.65,cherry tomato
68,Chicken-nuggets-w-BBQ-Sauce.jpg,45,33,7,0.733333333,0.155555556,0.577777778,chicken nuggets2
51,Chicken-fingers-Perdue-Crispy-Chicken-Strips.jpg,41,32,13,0.780487805,0.317073171,0.463414634,chickenfingers
112,Chicken-noodle-soup-Campbells-Classic.jpg,42,32,10,0.761904762,0.238095238,0.523809524,chickennoodlesoup
122,Chocolate-dark-covered-pretzels-Flipz.jpg,42,33,12,0.785714286,0.285714286,0.5,chocolatecoveredpretzels
108,Cocktail-shrimp.jpg,40,26,3,0.65,0.075,0.575,cocktailshrimp
121,Choc-Chip-cookies-Entenmanns.jpg,40,24,10,0.6,0.25,0.35,cookies
57,Corn-on-Cob.jpg,42,31,8,0.738095238,0.19047619,0.547619048,corn cob
114,Craisins-Ocean-Spray.jpg,42,36,11,0.857142857,0.261904762,0.595238095,craisins
115,Croissant-plain.jpg,40,31,9,0.775,0.225,0.55,croissant
99,Cucumber-slices.jpg,45,36,13,0.8,0.288888889,0.511111111,cucumber slices
109,Cupcakes-mini-frosted.jpg,43,34,5,0.790697674,0.11627907,0.674418605,cupcakes am
106,Doritos-Nacho-Cheese.jpg,42,35,9,0.833333333,0.214285714,0.619047619,doritos
42,Doughnuts-frosted-yeast-type.jpg,40,30,7,0.75,0.175,0.575,doughnuts
118,Edamame.jpg,41,30,14,0.731707317,0.341463415,0.390243902,edamame
78,Eggs-hard-boiled.jpg,41,34,9,0.829268293,0.219512195,0.609756098,eggs
45,Egg-salad.jpg,43,26,16,0.604651163,0.372093023,0.23255814,eggsalad
4,Falafel-withpita.jpg,44,21,11,0.477272727,0.25,0.227272727,falafelwithpita
107,French-Fries.jpg,41,31,15,0.756097561,0.365853659,0.390243902,french fries
