"","Target.count","Hit.count","FA.count","HR","FAR","Memorability"
"Soy-crisps.jpg",41,24,11,0.585365853658537,0.268292682926829,0.317073170731707
"Chocolate-trail-mix.jpg",42,32,12,0.761904761904762,0.285714285714286,0.476190476190476
"Kit-Kat.jpg",45,37,6,0.822222222222222,0.133333333333333,0.688888888888889
"Falafel-withpita.jpg",44,21,11,0.477272727272727,0.25,0.227272727272727
"Peach.jpg",40,33,19,0.825,0.475,0.35
"Raisin-Bran-with-whole-milk.jpg",44,22,9,0.5,0.204545454545455,0.295454545454545
"Turkey-on-roll-with-lettuce-and-tomato.jpg",41,25,10,0.609756097560976,0.24390243902439,0.365853658536585
"Cherries.jpg",41,27,10,0.658536585365854,0.24390243902439,0.414634146341463
"Pear.jpg",40,22,8,0.55,0.2,0.35
"Swedish-Fish.jpg",42,25,13,0.595238095238095,0.30952380952381,0.285714285714286
"Turkey-breast-Oscar-Mayer-Deli-Select.jpg",41,30,9,0.731707317073171,0.219512195121951,0.51219512195122
"Bagel-cream-cheese.jpg",44,29,14,0.659090909090909,0.318181818181818,0.340909090909091
"Fruit-Loops-w-whole-milk.jpg",41,34,16,0.829268292682927,0.390243902439024,0.439024390243902
"Kiwi.jpg",41,30,11,0.731707317073171,0.268292682926829,0.463414634146341
"Green-beans-raw.jpg",44,38,10,0.863636363636364,0.227272727272727,0.636363636363636
"Strawberries.jpg",42,27,11,0.642857142857143,0.261904761904762,0.380952380952381
"Burrito-Amy-Bean-Cheese.jpg",40,28,4,0.7,0.1,0.6
"Popsicles.jpg",42,30,6,0.714285714285714,0.142857142857143,0.571428571428571
"Granola-with-whole-milk.jpg",45,30,13,0.666666666666667,0.288888888888889,0.377777777777778
"Grilled-chicken-strips.jpg",41,30,13,0.731707317073171,0.317073170731707,0.414634146341463
"Sushi-with-condiments.jpg",40,25,6,0.625,0.15,0.475
"Yellow-popcorn.jpg",41,30,11,0.731707317073171,0.268292682926829,0.463414634146341
"Ritz-crackers.jpg",41,32,16,0.780487804878049,0.390243902439024,0.390243902439024
"Peanut-butter-1.5-oz-wt-withbanana-small.jpg",44,38,8,0.863636363636364,0.181818181818182,0.681818181818182
"Grapefruit.jpg",40,26,4,0.65,0.1,0.55
"Brownie.jpg",41,31,11,0.75609756097561,0.268292682926829,0.48780487804878
"Banana.jpg",41,33,4,0.804878048780488,0.0975609756097561,0.707317073170732
"Whole-milk.jpg",40,31,12,0.775,0.3,0.475
"Red-bell-pepper.jpg",43,36,7,0.837209302325581,0.162790697674419,0.674418604651163
"Graham-crackers-Nabisco-Original.jpg",43,30,9,0.697674418604651,0.209302325581395,0.488372093023256
"Grilled-cheese.jpg",41,28,9,0.682926829268293,0.219512195121951,0.463414634146342
