"","X11","X13","FCorrectRej","FillerFA","FillerHit","FillerMiss","Fixation","TargetFA","TargetHit","TargetMiss","TCorrectRej","THitRate","TFalseARate","FHitRate","FFalseARate"
"X1",2,1,96,11,25,15,202,1,21,8,28,0.724137931034483,0.0454545454545455,0.625,0.305555555555556
"X2",6,2,89,18,22,18,197,4,15,14,25,0.517241379310345,0.210526315789474,0.55,0.45
"X3",0,0,104,3,24,16,205,1,23,6,28,0.793103448275862,0.0416666666666667,0.6,0.111111111111111
"X4",1,0,101,6,38,2,204,0,25,4,29,0.862068965517241,0,0.95,0.136363636363636
"X5",0,0,103,4,36,4,205,0,26,3,29,0.896551724137931,0,0.9,0.1
"X6",3,5,96,11,32,8,197,5,19,10,24,0.655172413793103,0.208333333333333,0.8,0.255813953488372
"X7",4,4,93,14,26,14,197,2,23,6,27,0.793103448275862,0.08,0.65,0.35
"X8",18,47,85,22,18,22,140,2,7,22,27,0.241379310344828,0.222222222222222,0.45,0.55
"X9",9,2,101,6,8,32,194,1,6,23,28,0.206896551724138,0.142857142857143,0.2,0.428571428571429
"X10",0,1,104,3,1,39,204,0,0,29,29,0,NA,0.025,0.75
"X11",27,61,58,49,19,21,117,9,15,14,20,0.517241379310345,0.375,0.475,0.720588235294118
"X12",28,28,91,16,5,35,149,4,7,22,25,0.241379310344828,0.363636363636364,0.125,0.761904761904762
"X13",1,0,102,5,38,2,204,1,29,0,28,1,0.0333333333333333,0.95,0.116279069767442
"X14",3,2,74,33,36,4,200,11,28,1,18,0.96551724137931,0.282051282051282,0.9,0.478260869565217
"X15",0,2,97,10,37,3,203,4,24,5,25,0.827586206896552,0.142857142857143,0.925,0.212765957446809
"X16",30,3,98,9,36,4,172,1,27,2,28,0.931034482758621,0.0357142857142857,0.9,0.2
"X17",35,58,55,52,25,15,112,16,18,11,13,0.620689655172414,0.470588235294118,0.625,0.675324675324675
"X18",47,15,105,2,9,31,143,0,3,26,29,0.103448275862069,0,0.225,0.181818181818182
"X19",10,4,95,12,17,23,191,0,8,21,29,0.275862068965517,0,0.425,0.413793103448276
"X20",1,1,97,10,36,4,203,2,28,1,27,0.96551724137931,0.0666666666666667,0.9,0.217391304347826
"X21",29,4,105,2,15,25,172,1,8,21,28,0.275862068965517,0.111111111111111,0.375,0.117647058823529
"X22",3,6,52,55,29,11,196,13,10,19,16,0.344827586206897,0.565217391304348,0.725,0.654761904761905
"X23",12,16,66,41,28,12,177,8,14,15,21,0.482758620689655,0.363636363636364,0.7,0.594202898550725
"X24",22,52,50,57,26,14,131,15,13,16,14,0.448275862068966,0.535714285714286,0.65,0.686746987951807
"X25",3,0,98,9,26,14,202,1,20,9,28,0.689655172413793,0.0476190476190476,0.65,0.257142857142857
"X26",3,0,100,7,35,5,202,3,27,2,26,0.931034482758621,0.1,0.875,0.166666666666667
"X27",0,0,91,16,33,7,205,7,29,0,22,1,0.194444444444444,0.825,0.326530612244898
"X28",2,0,93,14,33,7,203,2,26,3,27,0.896551724137931,0.0714285714285714,0.825,0.297872340425532
"X29",1,1,104,3,27,13,203,1,16,13,28,0.551724137931034,0.0588235294117647,0.675,0.1
"X30",3,3,102,5,32,8,199,0,24,5,29,0.827586206896552,0,0.8,0.135135135135135
"X31",28,22,97,10,17,23,155,3,7,22,26,0.241379310344828,0.3,0.425,0.37037037037037
"X32",1,2,102,5,29,11,202,2,10,19,27,0.344827586206897,0.166666666666667,0.725,0.147058823529412
"X33",1,1,103,4,37,3,203,1,27,2,28,0.931034482758621,0.0357142857142857,0.925,0.0975609756097561
"X34",39,5,106,1,9,31,161,2,2,27,27,0.0689655172413793,0.5,0.225,0.1
"X35",36,36,102,5,9,31,133,4,5,24,25,0.172413793103448,0.444444444444444,0.225,0.357142857142857
"X36",8,5,93,14,32,8,192,3,23,6,26,0.793103448275862,0.115384615384615,0.8,0.304347826086957
"X37",4,0,97,10,24,16,201,1,16,13,28,0.551724137931034,0.0588235294117647,0.6,0.294117647058824
"X38",1,3,98,9,30,10,201,4,26,3,25,0.896551724137931,0.133333333333333,0.75,0.230769230769231
"X39",1,1,93,14,31,9,203,3,20,9,26,0.689655172413793,0.130434782608696,0.775,0.311111111111111
"X40",9,0,103,4,31,9,196,0,16,13,29,0.551724137931034,0,0.775,0.114285714285714
"X41",6,15,79,28,28,12,184,11,15,14,18,0.517241379310345,0.423076923076923,0.7,0.5
"X42",6,6,90,17,31,9,193,1,21,8,28,0.724137931034483,0.0454545454545455,0.775,0.354166666666667
"X43",10,9,73,34,21,19,186,10,12,17,19,0.413793103448276,0.454545454545455,0.525,0.618181818181818
"X44",2,0,106,1,0,40,203,0,1,28,29,0.0344827586206897,0,0,1
"X45",1,2,104,3,0,40,202,0,0,29,29,0,NA,0,1
"X46",3,7,88,19,33,7,195,4,21,8,25,0.724137931034483,0.16,0.825,0.365384615384615
"X47",36,29,94,13,14,26,140,0,5,24,29,0.172413793103448,0,0.35,0.481481481481481
"X48",2,0,93,14,32,8,203,1,24,5,28,0.827586206896552,0.04,0.8,0.304347826086957
"X49",0,0,107,0,0,40,205,0,0,29,29,0,NA,0,NA
"X50",3,3,90,17,15,25,199,7,5,24,22,0.172413793103448,0.583333333333333,0.375,0.53125
"X51",11,42,73,34,10,30,152,13,1,28,16,0.0344827586206897,0.928571428571429,0.25,0.772727272727273
"X52",3,4,103,4,2,38,198,0,1,28,29,0.0344827586206897,0,0.05,0.666666666666667
"X53",42,82,46,61,26,14,81,21,17,12,8,0.586206896551724,0.552631578947368,0.65,0.701149425287356
"X54",3,1,96,11,32,8,201,5,17,12,24,0.586206896551724,0.227272727272727,0.8,0.255813953488372
"X55",0,0,98,9,33,7,205,1,24,5,28,0.827586206896552,0.04,0.825,0.214285714285714
"X56",29,51,52,55,24,16,125,21,17,12,8,0.586206896551724,0.552631578947368,0.6,0.69620253164557
"X57",2,2,88,19,33,7,201,4,22,7,25,0.758620689655172,0.153846153846154,0.825,0.365384615384615
"X58",6,6,99,8,2,38,193,0,2,27,29,0.0689655172413793,0,0.05,0.8
"X59",3,5,104,3,2,38,197,1,1,28,28,0.0344827586206897,0.5,0.05,0.6
"X60",0,1,107,0,0,40,204,1,0,29,28,0,1,0,NA
"X61",1,10,10,97,40,0,194,26,28,1,3,0.96551724137931,0.481481481481481,1,0.708029197080292
"X62",45,37,96,11,15,25,123,2,6,23,27,0.206896551724138,0.25,0.375,0.423076923076923
"X63",6,7,10,97,38,2,192,22,25,4,7,0.862068965517241,0.468085106382979,0.95,0.718518518518519
"X64",1,6,94,13,6,34,198,3,0,29,26,0,1,0.15,0.684210526315789
"X65",4,10,102,5,3,37,191,2,2,27,27,0.0689655172413793,0.5,0.075,0.625
"X66",0,2,71,36,34,6,203,10,24,5,19,0.827586206896552,0.294117647058824,0.85,0.514285714285714
"X67",41,97,35,72,29,11,67,23,16,13,6,0.551724137931034,0.58974358974359,0.725,0.712871287128713
