"","FCorrectRej","FillerFA","FillerHit","FillerMiss","TargetFA","TargetHit","TargetMiss","TCorrectRej","THitRate","TFalseARate","FHitRate","FFalseARate","keyPress","HitTotal","CRTotal"
"X1",95,12,26,14,1,22,7,28,0.758620689655172,0.0434782608695652,0.65,0.315789473684211,61,48,123
"X2",87,20,25,15,4,18,11,25,0.620689655172414,0.181818181818182,0.625,0.444444444444444,67,43,112
"X3",104,3,24,16,1,23,6,28,0.793103448275862,0.0416666666666667,0.6,0.111111111111111,51,47,132
"X4",101,6,38,2,0,26,3,29,0.896551724137931,0,0.95,0.136363636363636,70,64,130
"X5",103,4,36,4,0,26,3,29,0.896551724137931,0,0.9,0.1,66,62,132
"X6",92,15,34,6,5,20,9,24,0.689655172413793,0.2,0.85,0.306122448979592,74,54,116
"X7",89,18,29,11,2,24,5,27,0.827586206896552,0.0769230769230769,0.725,0.382978723404255,73,53,116
"X8",53,54,27,13,17,16,13,12,0.551724137931034,0.515151515151515,0.675,0.666666666666667,114,43,65
"X9",100,7,15,25,2,8,21,27,0.275862068965517,0.2,0.375,0.318181818181818,32,23,127
"X10",103,4,1,39,0,0,29,29,0,NA,0.025,0.8,5,1,132
"X11",17,90,32,8,22,26,3,7,0.896551724137931,0.458333333333333,0.8,0.737704918032787,170,58,24
"X12",73,34,20,20,11,19,10,18,0.655172413793103,0.366666666666667,0.5,0.62962962962963,84,39,91
"X13",102,5,38,2,1,29,0,28,1,0.0333333333333333,0.95,0.116279069767442,73,67,130
"X14",72,35,38,2,11,29,0,18,1,0.275,0.95,0.479452054794521,113,67,90
"X15",96,11,37,3,5,24,5,24,0.827586206896552,0.172413793103448,0.925,0.229166666666667,77,61,120
"X16",97,10,37,3,1,28,1,28,0.96551724137931,0.0344827586206897,0.925,0.212765957446809,76,65,125
"X17",39,68,35,5,20,24,5,9,0.827586206896552,0.454545454545455,0.875,0.660194174757282,147,59,48
"X18",94,13,36,4,4,23,6,25,0.793103448275862,0.148148148148148,0.9,0.26530612244898,76,59,119
"X19",92,15,23,17,1,12,17,28,0.413793103448276,0.0769230769230769,0.575,0.394736842105263,51,35,120
"X20",97,10,37,3,3,28,1,26,0.96551724137931,0.0967741935483871,0.925,0.212765957446809,78,65,123
"X21",101,6,28,12,1,24,5,28,0.827586206896552,0.04,0.7,0.176470588235294,59,52,129
"X22",49,58,30,10,16,12,17,13,0.413793103448276,0.571428571428571,0.75,0.659090909090909,116,42,62
"X23",53,54,34,6,10,18,11,19,0.620689655172414,0.357142857142857,0.85,0.613636363636364,116,52,72
"X24",39,68,31,9,18,15,14,11,0.517241379310345,0.545454545454545,0.775,0.686868686868687,132,46,50
"X25",98,9,29,11,1,20,9,28,0.689655172413793,0.0476190476190476,0.725,0.236842105263158,59,49,126
"X26",100,7,37,3,3,28,1,26,0.96551724137931,0.0967741935483871,0.925,0.159090909090909,75,65,126
"X27",91,16,33,7,7,29,0,22,1,0.194444444444444,0.825,0.326530612244898,85,62,113
"X28",93,14,35,5,2,26,3,27,0.896551724137931,0.0714285714285714,0.875,0.285714285714286,77,61,120
"X29",103,4,27,13,1,17,12,28,0.586206896551724,0.0555555555555556,0.675,0.129032258064516,49,44,131
"X30",99,8,33,7,0,26,3,29,0.896551724137931,0,0.825,0.195121951219512,67,59,128
"X31",77,30,31,9,5,21,8,24,0.724137931034483,0.192307692307692,0.775,0.491803278688525,87,52,101
"X32",100,7,29,11,2,11,18,27,0.379310344827586,0.153846153846154,0.725,0.194444444444444,49,40,127
"X33",102,5,38,2,1,27,2,28,0.931034482758621,0.0357142857142857,0.95,0.116279069767442,71,65,130
"X34",103,4,34,6,4,16,13,25,0.551724137931034,0.2,0.85,0.105263157894737,58,50,128
"X35",70,37,32,8,8,18,11,21,0.620689655172414,0.307692307692308,0.8,0.536231884057971,95,50,91
"X36",88,19,34,6,3,29,0,26,1,0.09375,0.85,0.358490566037736,85,63,114
"X37",97,10,26,14,1,18,11,28,0.620689655172414,0.0526315789473684,0.65,0.277777777777778,55,44,125
"X38",95,12,30,10,4,27,2,25,0.931034482758621,0.129032258064516,0.75,0.285714285714286,73,57,120
"X39",92,15,31,9,3,21,8,26,0.724137931034483,0.125,0.775,0.326086956521739,70,52,118
"X40",103,4,35,5,0,21,8,29,0.724137931034483,0,0.875,0.102564102564103,60,56,132
"X41",69,38,30,10,14,19,10,15,0.655172413793103,0.424242424242424,0.75,0.558823529411765,101,49,84
"X42",86,21,35,5,3,23,6,26,0.793103448275862,0.115384615384615,0.875,0.375,82,58,112
"X43",67,40,26,14,11,16,13,18,0.551724137931034,0.407407407407407,0.65,0.606060606060606,93,42,85
"X44",106,1,1,39,0,1,28,29,0.0344827586206897,0,0.025,0.5,3,2,135
"X45",104,3,0,40,0,1,28,29,0.0344827586206897,0,0,1,4,1,133
"X46",83,24,34,6,5,21,8,24,0.724137931034483,0.192307692307692,0.85,0.413793103448276,84,55,107
"X47",71,36,31,9,6,24,5,23,0.827586206896552,0.2,0.775,0.537313432835821,97,55,94
"X48",93,14,34,6,1,24,5,28,0.827586206896552,0.04,0.85,0.291666666666667,73,58,121
"X49",107,0,0,40,0,0,29,29,0,NA,0,NA,0,0,136
"X50",88,19,16,24,7,7,22,22,0.241379310344828,0.5,0.4,0.542857142857143,49,23,110
"X51",70,37,12,28,14,1,28,15,0.0344827586206897,0.933333333333333,0.3,0.755102040816326,64,13,85
"X52",101,6,2,38,0,1,28,29,0.0344827586206897,0,0.05,0.75,9,3,130
"X53",44,63,26,14,22,17,12,7,0.586206896551724,0.564102564102564,0.65,0.707865168539326,128,43,51
"X54",95,12,34,6,5,18,11,24,0.620689655172414,0.217391304347826,0.85,0.260869565217391,69,52,119
"X55",98,9,33,7,1,24,5,28,0.827586206896552,0.04,0.825,0.214285714285714,67,57,126
"X56",19,88,34,6,27,26,3,2,0.896551724137931,0.509433962264151,0.85,0.721311475409836,175,60,21
"X57",87,20,33,7,5,24,5,24,0.827586206896552,0.172413793103448,0.825,0.377358490566038,82,57,111
"X58",99,8,3,37,1,3,26,28,0.103448275862069,0.25,0.075,0.727272727272727,15,6,127
"X59",103,4,2,38,1,1,28,28,0.0344827586206897,0.5,0.05,0.666666666666667,8,3,131
"X60",106,1,0,40,1,0,29,28,0,1,0,1,2,0,134
"X61",3,104,40,0,29,29,0,0,1,0.5,1,0.722222222222222,202,69,3
"X62",66,41,38,2,9,28,1,20,0.96551724137931,0.243243243243243,0.95,0.518987341772152,116,66,86
"X63",4,103,39,1,23,28,1,6,0.96551724137931,0.450980392156863,0.975,0.725352112676056,193,67,10
"X64",91,16,6,34,5,0,29,24,0,1,0.15,0.727272727272727,27,6,115
"X65",99,8,3,37,2,2,27,27,0.0689655172413793,0.5,0.075,0.727272727272727,15,5,126
"X66",69,38,34,6,10,24,5,19,0.827586206896552,0.294117647058824,0.85,0.527777777777778,106,58,88
"X67",32,75,29,11,24,16,13,5,0.551724137931034,0.6,0.725,0.721153846153846,144,45,37
"X68",105,2,1,39,0,1,28,29,0.0344827586206897,0,0.025,0.666666666666667,4,2,134
"X69",100,7,32,8,4,25,4,25,0.862068965517241,0.137931034482759,0.8,0.179487179487179,68,57,125
"X70",8,99,36,4,28,27,2,1,0.931034482758621,0.509090909090909,0.9,0.733333333333333,190,63,9
"X71",106,1,0,40,1,0,29,28,0,1,0,1,2,0,134
"X72",100,7,30,10,1,16,13,28,0.551724137931034,0.0588235294117647,0.75,0.189189189189189,54,46,128
"X73",77,30,34,6,3,23,6,26,0.793103448275862,0.115384615384615,0.85,0.46875,90,57,103
"X74",102,5,0,40,1,1,28,28,0.0344827586206897,0.5,0,1,7,1,130
"X75",90,17,35,5,2,27,2,27,0.931034482758621,0.0689655172413793,0.875,0.326923076923077,81,62,117
"X76",0,107,40,0,29,29,0,0,1,0.5,1,0.727891156462585,205,69,0
"X77",87,20,7,33,3,7,22,26,0.241379310344828,0.3,0.175,0.740740740740741,37,14,113
"X78",82,25,32,8,7,20,9,22,0.689655172413793,0.259259259259259,0.8,0.43859649122807,84,52,104
"X79",94,13,35,5,2,23,6,27,0.793103448275862,0.08,0.875,0.270833333333333,73,58,121
"X80",105,2,0,40,1,0,29,28,0,1,0,1,3,0,133
"X81",85,22,28,12,6,12,17,23,0.413793103448276,0.333333333333333,0.7,0.44,68,40,108
"X82",84,23,37,3,9,21,8,20,0.724137931034483,0.3,0.925,0.383333333333333,90,58,104
"X83",105,2,35,5,2,27,2,27,0.931034482758621,0.0689655172413793,0.875,0.0540540540540541,66,62,132
"X84",83,24,38,2,5,27,2,24,0.931034482758621,0.15625,0.95,0.387096774193548,94,65,107
"X85",84,23,37,3,7,25,4,22,0.862068965517241,0.21875,0.925,0.383333333333333,92,62,106
"X86",101,6,3,37,0,0,29,29,0,NA,0.075,0.666666666666667,9,3,130
"X87",48,59,22,18,12,16,13,17,0.551724137931034,0.428571428571429,0.55,0.728395061728395,109,38,65
"X88",97,10,35,5,2,26,3,27,0.896551724137931,0.0714285714285714,0.875,0.222222222222222,73,61,124
"X89",37,70,27,13,14,19,10,15,0.655172413793103,0.424242424242424,0.675,0.721649484536082,130,46,52
"X90",85,22,30,10,9,11,18,20,0.379310344827586,0.45,0.75,0.423076923076923,72,41,105
"X91",75,32,14,26,6,14,15,23,0.482758620689655,0.3,0.35,0.695652173913043,66,28,98
"X92",103,4,30,10,1,20,9,28,0.689655172413793,0.0476190476190476,0.75,0.117647058823529,55,50,131
"X93",15,92,33,7,26,26,3,3,0.896551724137931,0.5,0.825,0.736,177,59,18
"X94",89,18,36,4,4,21,8,25,0.724137931034483,0.16,0.9,0.333333333333333,79,57,114
"X95",88,19,31,9,5,20,9,24,0.689655172413793,0.2,0.775,0.38,75,51,112
"X96",97,10,37,3,1,26,3,28,0.896551724137931,0.037037037037037,0.925,0.212765957446809,74,63,125
"X97",75,32,28,12,7,23,6,22,0.793103448275862,0.233333333333333,0.7,0.533333333333333,90,51,97
"X98",91,16,29,11,6,21,8,23,0.724137931034483,0.222222222222222,0.725,0.355555555555556,72,50,114
"X99",97,10,11,29,1,8,21,28,0.275862068965517,0.111111111111111,0.275,0.476190476190476,30,19,125
"X100",102,5,35,5,2,14,15,27,0.482758620689655,0.125,0.875,0.125,56,49,129
"X101",95,12,30,10,3,23,6,26,0.793103448275862,0.115384615384615,0.75,0.285714285714286,68,53,121
"X102",102,5,2,38,1,0,29,28,0,1,0.05,0.714285714285714,8,2,130
"X103",41,66,24,16,17,21,8,12,0.724137931034483,0.447368421052632,0.6,0.733333333333333,128,45,53
"X104",79,28,35,5,4,28,1,25,0.96551724137931,0.125,0.875,0.444444444444444,95,63,104
"X105",96,11,38,2,2,28,1,27,0.96551724137931,0.0666666666666667,0.95,0.224489795918367,79,66,123
"X106",3,104,40,0,26,29,0,3,1,0.472727272727273,1,0.722222222222222,199,69,6
"X107",19,88,33,7,22,23,6,7,0.793103448275862,0.488888888888889,0.825,0.727272727272727,166,56,26
"X108",87,20,30,10,8,16,13,21,0.551724137931034,0.333333333333333,0.75,0.4,74,46,108
"X109",74,33,14,26,7,17,12,22,0.586206896551724,0.291666666666667,0.35,0.702127659574468,71,31,96
"X110",26,81,29,11,27,23,6,2,0.793103448275862,0.54,0.725,0.736363636363636,160,52,28
"X111",73,34,10,30,1,9,20,28,0.310344827586207,0.1,0.25,0.772727272727273,54,19,101
"X112",56,51,26,14,9,22,7,20,0.758620689655172,0.290322580645161,0.65,0.662337662337662,108,48,76
"X113",82,25,39,1,8,22,7,21,0.758620689655172,0.266666666666667,0.975,0.390625,94,61,103
"X114",102,5,40,0,2,29,0,27,1,0.0645161290322581,1,0.111111111111111,76,69,129
"X115",98,9,37,3,0,27,2,29,0.931034482758621,0,0.925,0.195652173913043,73,64,127
"X116",96,11,35,5,4,26,3,25,0.896551724137931,0.133333333333333,0.875,0.239130434782609,76,61,121
"X117",88,19,36,4,2,27,2,27,0.931034482758621,0.0689655172413793,0.9,0.345454545454545,84,63,115
"X118",100,7,39,1,0,29,0,29,1,0,0.975,0.152173913043478,75,68,129
"X119",99,8,36,4,0,29,0,29,1,0,0.9,0.181818181818182,73,65,128
"X120",92,15,39,1,4,27,2,25,0.931034482758621,0.129032258064516,0.975,0.277777777777778,85,66,117
